FIPS,Recip_County,Recip_State,Series_Complete_Pop_Pct
5075,Lawrence County,AR,42.3
1053,Escambia County,AL,33.1
19171,Tama County,IA,58
6043,Mariposa County,CA,0
19097,Jackson County,IA,49.2
21009,Barren County,KY,41.5
27077,Lake of the Woods County,MN,51.8
72079,Lajas Municipio,PR,70.7
37001,Alamance County,NC,52.5
2180,Nome Census Area,AK,61.9
29113,Lincoln County,MO,35.8
48401,Rusk County,TX,34.4
48379,Rains County,TX,33.6
26073,Isabella County,MI,41.4
25023,Plymouth County,MA,62.4
28065,Jefferson Davis County,MS,40.4
37081,Guilford County,NC,55
13049,Charlton County,GA,12.9
51067,Franklin County,VA,40.9
13191,McIntosh County,GA,36.2
72119,Rio Grande Municipio,PR,63.9
29131,Miller County,MO,30.7
40103,Noble County,OK,56.7
31005,Arthur County,NE,17.5
39033,Crawford County,OH,41.5
13225,Peach County,GA,15.7
13057,Cherokee County,GA,30.9
51175,Southampton County,VA,35.6
18141,St. Joseph County,IN,53.9
29103,Knox County,MO,37.3
48331,Milam County,TX,41.4
20127,Morris County,KS,51.4
36027,Dutchess County,NY,63.4
37153,Richmond County,NC,43.3
33003,Carroll County,NH,65.7
72089,Luquillo Municipio,PR,63.5
51061,Fauquier County,VA,54.8
18047,Franklin County,IN,34.5
29117,Livingston County,MO,40.6
27063,Jackson County,MN,47.2
30101,Toole County,MT,42.3
37123,Montgomery County,NC,38.7
44001,Bristol County,RI,70.6
22073,Ouachita Parish,LA,41.2
48413,Schleicher County,TX,40
29077,Greene County,MO,45.2
20035,Cowley County,KS,43.1
13027,Brooks County,GA,31.9
49021,Iron County,UT,40.1
26089,Leelanau County,MI,78.1
17019,Champaign County,IL,57.4
51053,Dinwiddie County,VA,44.5
20017,Chase County,KS,41.8
26043,Dickinson County,MI,62.7
47023,Chester County,TN,32.8
35061,Valencia County,NM,53.5
51005,Alleghany County,VA,37.5
8081,Moffat County,CO,39
9009,New Haven County,CT,70.3
24019,Dorchester County,MD,53.5
38039,Griggs County,ND,43.9
36095,Schoharie County,NY,52.5
19053,Decatur County,IA,37.5
51033,Caroline County,VA,38.1
39165,Warren County,OH,57.7
2185,North Slope Borough,AK,34.4
46097,Miner County,SD,49.5
54031,Hardy County,WV,24.7
2068,Denali Borough,AK,47.4
42029,Chester County,PA,62.5
12079,Madison County,FL,39.7
48247,Jim Hogg County,TX,50.2
20195,Trego County,KS,37.5
29025,Caldwell County,MO,36.1
36035,Fulton County,NY,49.6
45085,Sumter County,SC,45.4
24510,Baltimore city,MD,57.2
40129,Roger Mills County,OK,33.4
5125,Saline County,AR,44.7
21117,Kenton County,KY,54.3
54059,Mingo County,WV,24.8
13157,Jackson County,GA,25.4
54009,Brooke County,WV,22.1
31015,Boyd County,NE,32.3
54039,Kanawha County,WV,32.1
32009,Esmeralda County,NV,38.3
31169,Thayer County,NE,43.5
40119,Payne County,OK,44.1
26051,Gladwin County,MI,45.1
UNK,Unknown County,VI,0
47133,Overton County,TN,33.1
36075,Oswego County,NY,54.5
40085,Love County,OK,38.8
48355,Nueces County,TX,51.7
12115,Sarasota County,FL,65.2
48049,Brown County,TX,37.1
48507,Zavala County,TX,47.2
42081,Lycoming County,PA,49.9
19159,Ringgold County,IA,48.1
22037,East Feliciana Parish,LA,37.1
22123,West Carroll Parish,LA,37.9
46041,Dewey County,SD,59.1
48217,Hill County,TX,37.6
26093,Livingston County,MI,56.5
51195,Wise County,VA,42.6
22113,Vermilion Parish,LA,34.7
20031,Coffey County,KS,48.9
19185,Wayne County,IA,38.8
18143,Scott County,IN,41
12125,Union County,FL,33.3
21151,Madison County,KY,43.3
29161,Phelps County,MO,40
9001,Fairfield County,CT,73.2
47077,Henderson County,TN,38.6
18103,Miami County,IN,38.7
40027,Cleveland County,OK,48.5
28137,Tate County,MS,40.5
35047,San Miguel County,NM,61.4
41045,Malheur County,OR,42.8
40121,Pittsburg County,OK,41.1
13017,Ben Hill County,GA,14.4
17097,Lake County,IL,68.2
48239,Jackson County,TX,40.7
46005,Beadle County,SD,44
29229,Wright County,MO,33.6
56045,Weston County,WY,32.9
20113,McPherson County,KS,51.4
51091,Highland County,VA,55.8
21133,Letcher County,KY,49.4
78020,St. John Island,VI,0
8049,Grand County,CO,57.9
39075,Holmes County,OH,16.8
28127,Simpson County,MS,41
22071,Orleans Parish,LA,62.9
28141,Tishomingo County,MS,35.9
42055,Franklin County,PA,46.8
36055,Monroe County,NY,65.7
47179,Washington County,TN,54.6
31039,Cuming County,NE,48.3
26121,Muskegon County,MI,50.7
42007,Beaver County,PA,50.1
13241,Rabun County,GA,27.6
39135,Preble County,OH,39.5
72055,Guanica Municipio,PR,63.9
49023,Juab County,UT,32.6
36057,Montgomery County,NY,61.1
29169,Pulaski County,MO,56.1
6025,Imperial County,CA,71.3
50003,Bennington County,VT,38.6
20047,Edwards County,KS,44.2
29123,Madison County,MO,35.6
30039,Granite County,MT,34.5
12111,St. Lucie County,FL,53.2
51570,Colonial Heights city,VA,36
31107,Knox County,NE,45.6
39019,Carroll County,OH,40.4
6055,Napa County,CA,68.9
48065,Carson County,TX,32.5
20033,Comanche County,KS,43.1
48375,Potter County,TX,40.5
37069,Franklin County,NC,46
19177,Van Buren County,IA,39.4
42017,Bucks County,PA,66
40053,Grant County,OK,39.5
48147,Fannin County,TX,40
26115,Monroe County,MI,52
21219,Todd County,KY,38.4
13219,Oconee County,GA,28.2
18115,Ohio County,IN,70.4
27061,Itasca County,MN,52.2
26005,Allegan County,MI,47.8
48371,Pecos County,TX,52.4
39161,Van Wert County,OH,39.5
36059,Nassau County,NY,72.8
2290,Yukon-Koyukuk Census Area,AK,62.9
21019,Boyd County,KY,43.3
12017,Citrus County,FL,52.7
49047,Uintah County,UT,36.5
13053,Chattahoochee County,GA,99.9
22047,Iberville Parish,LA,50.6
28163,Yazoo County,MS,44.7
48393,Roberts County,TX,29.9
18109,Morgan County,IN,50
31123,Morrill County,NE,32.1
53057,Skagit County,WA,61.1
21111,Jefferson County,KY,57.6
1087,Macon County,AL,42.8
31023,Butler County,NE,46.7
20039,Decatur County,KS,37.5
13063,Clayton County,GA,22
46081,Lawrence County,SD,50.6
42011,Berks County,PA,57
18093,Lawrence County,IN,45.9
41023,Grant County,OR,42.8
48255,Karnes County,TX,51.8
45055,Kershaw County,SC,52.5
20013,Brown County,KS,54.7
72043,Coamo Municipio,PR,64.3
21177,Muhlenberg County,KY,47.1
30071,Phillips County,MT,40
18183,Whitley County,IN,44.3
48093,Comanche County,TX,42
46053,Gregory County,SD,45.7
32013,Humboldt County,NV,38.1
28155,Webster County,MS,44.7
31163,Sherman County,NE,37.4
21109,Jackson County,KY,32.9
17011,Bureau County,IL,52.2
20021,Cherokee County,KS,42
27169,Winona County,MN,58.7
28139,Tippah County,MS,38.6
51191,Washington County,VA,53.1
12019,Clay County,FL,45.1
51051,Dickenson County,VA,42.7
51179,Stafford County,VA,50
48343,Morris County,TX,38.9
24027,Howard County,MD,75.3
31165,Sioux County,NE,23.2
17143,Peoria County,IL,55.1
31047,Dawson County,NE,43.1
31145,Red Willow County,NE,34.1
21115,Johnson County,KY,46.5
39079,Jackson County,OH,42.4
55115,Shawano County,WI,48.7
13067,Cobb County,GA,40
48091,Comal County,TX,54.3
41019,Douglas County,OR,49.7
20199,Wallace County,KS,34.6
48389,Reeves County,TX,43.1
27119,Polk County,MN,52.8
40051,Grady County,OK,34.5
40031,Comanche County,OK,55
30103,Treasure County,MT,43.8
55045,Green County,WI,58.3
48243,Jeff Davis County,TX,48.9
48017,Bailey County,TX,35.5
38031,Foster County,ND,51
27105,Nobles County,MN,54.8
48493,Wilson County,TX,47.6
19037,Chickasaw County,IA,50.7
45027,Clarendon County,SC,42.9
54005,Boone County,WV,30.8
13253,Seminole County,GA,18.6
1031,Coffee County,AL,36
19051,Davis County,IA,34.1
21137,Lincoln County,KY,37.3
30049,Lewis and Clark County,MT,54
17043,DuPage County,IL,68.6
55055,Jefferson County,WI,52.2
72013,Arecibo Municipio,PR,99.9
48415,Scurry County,TX,43.1
20141,Osborne County,KS,39.2
48297,Live Oak County,TX,39.1
5115,Pope County,AR,45.5
10003,New Castle County,DE,60.7
20069,Gray County,KS,40.5
48473,Waller County,TX,37.5
1015,Calhoun County,AL,42.7
17067,Hancock County,IL,44.1
6061,Placer County,CA,60.3
42035,Clinton County,PA,40.8
38029,Emmons County,ND,31.4
16021,Boundary County,ID,30.2
29197,Schuyler County,MO,26.4
19197,Wright County,IA,52.9
29041,Chariton County,MO,35.1
46127,Union County,SD,46.4
42095,Northampton County,PA,61.4
26097,Mackinac County,MI,70.9
8025,Crowley County,CO,20
5025,Cleveland County,AR,48.3
22025,Catahoula Parish,LA,37.1
12021,Collier County,FL,65.1
54023,Grant County,WV,13.7
48435,Sutton County,TX,40.6
37045,Cleveland County,NC,45
UNK,Unknown County,MI,0
30007,Broadwater County,MT,30.2
36105,Sullivan County,NY,54.8
6053,Monterey County,CA,61.5
28081,Lee County,MS,40.1
31151,Saline County,NE,46.7
6103,Tehama County,CA,37.1
1085,Lowndes County,AL,43.6
34021,Mercer County,NJ,62.4
55041,Forest County,WI,55.3
47001,Anderson County,TN,51.1
53007,Chelan County,WA,64.5
32019,Lyon County,NV,37.8
12103,Pinellas County,FL,59.9
8063,Kit Carson County,CO,35.2
5093,Mississippi County,AR,36.9
30095,Stillwater County,MT,39.2
13155,Irwin County,GA,14.6
UNK,Unknown County,TX,0
33019,Sullivan County,NH,57.9
29007,Audrain County,MO,34.1
19101,Jefferson County,IA,44.7
48059,Callahan County,TX,34.2
UNK,Unknown County,MA,0
17185,Wabash County,IL,44.2
49043,Summit County,UT,77.3
29175,Randolph County,MO,34.1
20143,Ottawa County,KS,37.7
15007,Kauai County,HI,0
18007,Benton County,IN,39.1
13221,Oglethorpe County,GA,27.4
8079,Mineral County,CO,75.6
8043,Fremont County,CO,39.6
