Date;Recip_County;Recip_State;Series_Complete_Pop_Pct;;;
11/18/2021;Lawrence County;AR;42,3;;;
11/18/2021;Escambia County;AL;33,1;;;
11/18/2021;Tama County;IA;58;;;
11/18/2021;Mariposa County;CA;0;;;
11/18/2021;Jackson County;IA;49,2;;;
11/18/2021;Barren County;KY;41,5;;;
11/18/2021;Lake of the Woods County;MN;51,8;;;
11/18/2021;Lajas Municipio;PR;70,7;;;
11/18/2021;Alamance County;NC;52,5;;;
11/18/2021;Nome Census Area;AK;61,9;;;
11/18/2021;Lincoln County;MO;35,8;;;
11/18/2021;Rusk County;TX;34,4;;;
11/18/2021;Rains County;TX;33,6;;;
11/18/2021;Isabella County;MI;41,4;;;
11/18/2021;Plymouth County;MA;62,4;;;
11/18/2021;Jefferson Davis County;MS;40,4;;;
11/18/2021;Guilford County;NC;55;;;
11/18/2021;Charlton County;GA;12,9;;;
11/18/2021;Franklin County;VA;40,9;;;
11/18/2021;McIntosh County;GA;36,2;;;
11/18/2021;Rio Grande Municipio;PR;63,9;;;
11/18/2021;Miller County;MO;30,7;;;
11/18/2021;Noble County;OK;56,7;;;
11/18/2021;Arthur County;NE;17,5;;;
11/18/2021;Crawford County;OH;41,5;;;
11/18/2021;Peach County;GA;15,7;;;
11/18/2021;Cherokee County;GA;30,9;;;
11/18/2021;Southampton County;VA;35,6;;;
11/18/2021;St. Joseph County;IN;53,9;;;
11/18/2021;Knox County;MO;37,3;;;
11/18/2021;Milam County;TX;41,4;;;
11/18/2021;Morris County;KS;51,4;;;
11/18/2021;Dutchess County;NY;63,4;;;
11/18/2021;Richmond County;NC;43,3;;;
11/18/2021;Carroll County;NH;65,7;;;
11/18/2021;Luquillo Municipio;PR;63,5;;;
11/18/2021;Fauquier County;VA;54,8;;;
11/18/2021;Franklin County;IN;34,5;;;
11/18/2021;Livingston County;MO;40,6;;;
11/18/2021;Jackson County;MN;47,2;;;
11/18/2021;Toole County;MT;42,3;;;
11/18/2021;Montgomery County;NC;38,7;;;
11/18/2021;Bristol County;RI;70,6;;;
11/18/2021;Ouachita Parish;LA;41,2;;;
11/18/2021;Schleicher County;TX;40;;;
11/18/2021;Greene County;MO;45,2;;;
11/18/2021;Cowley County;KS;43,1;;;
11/18/2021;Brooks County;GA;31,9;;;
11/18/2021;Iron County;UT;40,1;;;
11/18/2021;Leelanau County;MI;78,1;;;
11/18/2021;Champaign County;IL;57,4;;;
11/18/2021;Dinwiddie County;VA;44,5;;;
11/18/2021;Chase County;KS;41,8;;;
11/18/2021;Dickinson County;MI;62,7;;;
11/18/2021;Chester County;TN;32,8;;;
11/18/2021;Valencia County;NM;53,5;;;
11/18/2021;Alleghany County;VA;37,5;;;
11/18/2021;Moffat County;CO;39;;;
11/18/2021;New Haven County;CT;70,3;;;
11/18/2021;Dorchester County;MD;53,5;;;
11/18/2021;Griggs County;ND;43,9;;;
11/18/2021;Schoharie County;NY;52,5;;;
11/18/2021;Decatur County;IA;37,5;;;
11/18/2021;Caroline County;VA;38,1;;;
11/18/2021;Warren County;OH;57,7;;;
11/18/2021;North Slope Borough;AK;34,4;;;
11/18/2021;Miner County;SD;49,5;;;
11/18/2021;Hardy County;WV;24,7;;;
11/18/2021;Denali Borough;AK;47,4;;;
11/18/2021;Chester County;PA;62,5;;;
11/18/2021;Madison County;FL;39,7;;;
11/18/2021;Jim Hogg County;TX;50,2;;;
11/18/2021;Trego County;KS;37,5;;;
11/18/2021;Caldwell County;MO;36,1;;;
11/18/2021;Fulton County;NY;49,6;;;
11/18/2021;Sumter County;SC;45,4;;;
11/18/2021;Baltimore city;MD;57,2;;;
11/18/2021;Roger Mills County;OK;33,4;;;
11/18/2021;Saline County;AR;44,7;;;
11/18/2021;Kenton County;KY;54,3;;;
11/18/2021;Mingo County;WV;24,8;;;
11/18/2021;Jackson County;GA;25,4;;;
11/18/2021;Brooke County;WV;22,1;;;
11/18/2021;Boyd County;NE;32,3;;;
11/18/2021;Kanawha County;WV;32,1;;;
11/18/2021;Esmeralda County;NV;38,3;;;
11/18/2021;Thayer County;NE;43,5;;;
11/18/2021;Payne County;OK;44,1;;;
11/18/2021;Gladwin County;MI;45,1;;;
11/18/2021;Unknown County;VI;0;;;
11/18/2021;Overton County;TN;33,1;;;
11/18/2021;Oswego County;NY;54,5;;;
11/18/2021;Love County;OK;38,8;;;
11/18/2021;Nueces County;TX;51,7;;;
11/18/2021;Sarasota County;FL;65,2;;;
11/18/2021;Brown County;TX;37,1;;;
11/18/2021;Zavala County;TX;47,2;;;
11/18/2021;Lycoming County;PA;49,9;;;
11/18/2021;Ringgold County;IA;48,1;;;
11/18/2021;East Feliciana Parish;LA;37,1;;;
11/18/2021;West Carroll Parish;LA;37,9;;;
11/18/2021;Dewey County;SD;59,1;;;
