FIPS,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,
5075,Lawrence County,AR,42.3,6938,
1053,Escambia County,AL,33.1,12112,
19171,Tama County,IA,58,9777,
6043,Mariposa County,CA,0,0,
19097,Jackson County,IA,49.2,9568,
21009,Barren County,KY,41.5,18351,
27077,Lake of the Woods County,MN,51.8,1939,
72079,Lajas Municipio,PR,70.7,15565,
37001,Alamance County,NC,52.5,89037,
2180,Nome Census Area,AK,61.9,6189,
29113,Lincoln County,MO,35.8,21146,
48401,Rusk County,TX,34.4,18728,
48379,Rains County,TX,33.6,4203,
26073,Isabella County,MI,41.4,28896,
25023,Plymouth County,MA,62.4,325292,
28065,Jefferson Davis County,MS,40.4,4492,
37081,Guilford County,NC,55,295312,
13049,Charlton County,GA,12.9,1729,
51067,Franklin County,VA,40.9,22931,
13191,McIntosh County,GA,36.2,5198,
72119,Rio Grande Municipio,PR,63.9,30710,
29131,Miller County,MO,30.7,7856,
40103,Noble County,OK,56.7,6314,
31005,Arthur County,NE,17.5,81,
39033,Crawford County,OH,41.5,17215,
13225,Peach County,GA,15.7,4338,
13057,Cherokee County,GA,30.9,79977,
51175,Southampton County,VA,35.6,6269,
18141,St. Joseph County,IN,53.9,146483,
29103,Knox County,MO,37.3,1477,
48331,Milam County,TX,41.4,10283,
20127,Morris County,KS,51.4,2889,
36027,Dutchess County,NY,63.4,186603,
37153,Richmond County,NC,43.3,19413,
33003,Carroll County,NH,65.7,32131,
72089,Luquillo Municipio,PR,63.5,11223,
51061,Fauquier County,VA,54.8,39008,
18047,Franklin County,IN,34.5,7847,
29117,Livingston County,MO,40.6,6188,
27063,Jackson County,MN,47.2,4651,
30101,Toole County,MT,42.3,2002,
37123,Montgomery County,NC,38.7,10508,
44001,Bristol County,RI,70.6,34245,
22073,Ouachita Parish,LA,41.2,63083,
48413,Schleicher County,TX,40,1116,
29077,Greene County,MO,45.2,132442,
20035,Cowley County,KS,43.1,15053,
13027,Brooks County,GA,31.9,4937,
49021,Iron County,UT,40.1,21972,
26089,Leelanau County,MI,78.1,17000,
17019,Champaign County,IL,57.4,120387,
51053,Dinwiddie County,VA,44.5,12688,
20017,Chase County,KS,41.8,1108,
26043,Dickinson County,MI,62.7,15837,
47023,Chester County,TN,32.8,5665,
35061,Valencia County,NM,53.5,41006,
51005,Alleghany County,VA,37.5,5574,
8081,Moffat County,CO,39,5180,
9009,New Haven County,CT,70.3,600974,
24019,Dorchester County,MD,53.5,17075,
38039,Griggs County,ND,43.9,979,
36095,Schoharie County,NY,52.5,16261,
19053,Decatur County,IA,37.5,2950,
51033,Caroline County,VA,38.1,11703,
39165,Warren County,OH,57.7,135345,
2185,North Slope Borough,AK,34.4,3379,
46097,Miner County,SD,49.5,1097,
54031,Hardy County,WV,24.7,3400,
2068,Denali Borough,AK,47.4,995,
42029,Chester County,PA,62.5,328361,
12079,Madison County,FL,39.7,7340,
48247,Jim Hogg County,TX,50.2,2613,
